A1
[[34, 5.0, 732], [3, 25460, 1/2, 3.045829025372469], 3.49778]
[[41, 5.0, 29438], [16, 6666, 1/3, 24.088478270462094], 31.310291]
[[34, 5.0, 732], [4, 25460, 1/2, 4.462266870403891], 4.395496]
[[34, 5.0, 732], [5, 25460, 1/2, 5.438093478420424], 5.595273]
[[34, 5.0, 732], [6, 25460, 1/2, 6.43308845033543], 6.574025]
[[34, 5.0, 732], [7, 25460, 1/2, 7.086501398018427], 7.595875]
[[34, 5.0, 732], [8, 25460, 1/2, 7.570177580811422], 9.345348]
[[34, 5.0, 732], [9, 25460, 1/3, 9.31776033082152], 9.981317]
[[34, 5.0, 732], [10, 25460, 1/3, 9.801436513614515], 11.494093]
[[34, 5.0, 732], [11, 25460, 1/3, 11.087863865721916], 12.459415]
[[34, 5.0, 732], [12, 25460, 1/3, 12.602341315679473], 13.522392]
[[34, 5.0, 732], [13, 25460, 1/3, 14.08167784984942], 14.53597]
[[223, 5.0, 17242], [11, 62599, 3/4, 39.43159694198844], 281.166477]
[[34, 5.0, 732], [14, 25460, 2/7, 14.731825878653678], 16.347709]
[[151, 5.0, 27979], [1, 4055, 1/1, 5.63291222122462], 7.257159]
[[34, 5.0, 732], [15, 25460, 2/9, 16.934040909389964], 17.347236]
[[151, 5.0, 27979], [2, 4055, 1/1, 8.552810560160143], 12.729812]
[[34, 5.0, 732], [16, 25460, 2/11, 19.21744962955692], 19.025206]
[[151, 5.0, 27979], [3, 4055, 1/1, 10.523721195883523], 18.473093]
[[151, 5.0, 27979], [4, 4055, 1/1, 14.349235340675314], 24.163406]
[[151, 5.0, 27979], [5, 4055, 1/1, 15.98474178871162], 31.439727]
[[151, 5.0, 27979], [6, 4055, 1/1, 17.788131107379762], 38.182726]
[[151, 5.0, 27979], [7, 4055, 1/1, 18.950720389650616], 41.068775]
[[151, 5.0, 27979], [8, 4055, 1/1, 20.7068791071575], 48.978043]
[[223, 5.0, 17242], [12, 62599, 2/3, 44.91143057554491], 345.534106]
[[151, 5.0, 27979], [9, 4055, 1/1, 21.715890549220696], 54.360591]
[[408, 5.0, 72554], [12, 12720, 1/2, 57.87273467758358], 1911.057656]
[[151, 5.0, 27979], [10, 4055, 1/1, 24.518444361726786], 57.821877]
[[156, 5.0, 56948], [1, 36546, 1/1, 1.9193466785431215], 6.889346]
[[151, 5.0, 27979], [11, 4055, 3/4, 29.318941468697155], 67.708168]
[[223, 5.0, 17242], [13, 62599, 12/19, 46.24362783590033], 394.349516]
[[156, 5.0, 56948], [2, 36546, 1/1, 4.640482770298776], 12.216196]
[[151, 5.0, 27979], [12, 4055, 3/4, 34.81842379352211], 75.486996]
[[156, 5.0, 56948], [3, 36546, 1/1, 6.7577531478241415], 18.272031]
