[[105, 1.7099759466766968, 3556], [3, 55694, 1/4, 6.198140217847218], 2.123105]
[[57, 1.7099759466766968, 31247], [14, 40541, 1/14, 33.68125993564392], 3.738792]
[[57, 1.7099759466766968, 31247], [15, 40541, 1/16, 36.784795866680234], 4.135042]
[[105, 1.7099759466766968, 3556], [4, 55694, 1/4, 12.865204499360331], 2.659104]
[[57, 1.7099759466766968, 31247], [16, 40541, 1/18, 39.52233897640377], 4.374723]
[[105, 1.7099759466766968, 3556], [5, 55694, 1/4, 19.414805429748604], 3.353632]
[[105, 1.7099759466766968, 3556], [6, 55694, 1/4, 24.19279561722515], 4.131154]
[[105, 1.7099759466766968, 3556], [7, 55694, 1/6, 29.549886012554893], 4.727941]
[[242, 1.7099759466766968, 85768], [1, 64957, 1/2, 4.213934184063848], 1.674687]
[[105, 1.7099759466766968, 3556], [8, 55694, 1/6, 29.59894497278116], 5.31274]
[[242, 1.7099759466766968, 85768], [2, 64957, 1/2, 9.946411719278451], 3.063306]
[[105, 1.7099759466766968, 3556], [9, 55694, 1/6, 31.628548163305165], 5.94275]
[[105, 1.7099759466766968, 3556], [10, 55694, 1/6, 32.947017170716734], 6.664372]
[[105, 1.7099759466766968, 3556], [11, 55694, 1/6, 35.98899444797627], 7.212604]
[[242, 1.7099759466766968, 85768], [3, 64957, 1/2, 15.549138737259522], 4.412704]
[[105, 1.7099759466766968, 3556], [12, 55694, 1/6, 37.33731502062004], 8.322652]
[[242, 1.7099759466766968, 85768], [4, 64957, 1/2, 17.854662990449498], 5.841243]
[[105, 1.7099759466766968, 3556], [13, 55694, 1/8, 42.95571691669134], 8.823717]
[[105, 1.7099759466766968, 3556], [14, 55694, 1/8, 43.47281403296556], 9.464357]
[[242, 1.7099759466766968, 85768], [5, 64957, 1/2, 18.750348599986644], 7.220957]
[[105, 1.7099759466766968, 3556], [15, 55694, 1/8, 48.808804009373986], 10.11908]
[[57, 1.7099759466766968, 46099], [1, 4675, 1/1, 0.8101037780984773], 0.435637]
[[105, 1.7099759466766968, 3556], [16, 55694, 1/10, 54.264557857075815], 11.279788]
[[242, 1.7099759466766968, 85768], [6, 64957, 1/3, 23.96776702753815], 9.058603]
[[57, 1.7099759466766968, 46099], [2, 4675, 1/1, 2.847749051829312], 0.770054]
[[57, 1.7099759466766968, 46099], [3, 4675, 1/1, 3.326106917896151], 1.031541]
[[242, 1.7099759466766968, 85768], [7, 64957, 1/4, 27.549050433432768], 10.371468]
[[57, 1.7099759466766968, 46099], [4, 4675, 1/2, 8.222625110384923], 1.332627]
[[57, 1.7099759466766968, 46099], [5, 4675, 1/2, 10.070962200386472], 1.572072]
[[57, 1.7099759466766968, 46099], [6, 4675, 1/4, 15.9056022688365], 1.834824]
[[57, 1.7099759466766968, 46099], [7, 4675, 1/4, 18.569605169396997], 2.26722]
[[242, 1.7099759466766968, 85768], [8, 64957, 1/6, 30.967017567566916], 12.665145]
[[57, 1.7099759466766968, 46099], [8, 4675, 1/4, 21.923790902425036], 2.609646]
[[57, 1.7099759466766968, 46099], [9, 4675, 2/9, 24.644632923948883], 2.893567]
[[57, 1.7099759466766968, 46099], [10, 4675, 2/9, 26.59934678201734], 3.348273]
[[242, 1.7099759466766968, 85768], [9, 64957, 1/8, 33.537367565254684], 14.226374]
[[57, 1.7099759466766968, 46099], [11, 4675, 1/6, 30.787992199938007], 3.501044]
[[34, 1.7099759466766968, 22630], [1, 1384, 1/2, 1.576262323383226], 0.205032]
[[57, 1.7099759466766968, 46099], [12, 4675, 1/8, 34.64860208384827], 3.708243]
[[34, 1.7099759466766968, 22630], [2, 1384, 1/2, 2.8463800826514682], 0.450156]
[[34, 1.7099759466766968, 22630], [3, 1384, 1/3, 5.105434717405318], 0.659728]
[[242, 1.7099759466766968, 85768], [10, 64957, 1/10, 39.363453785596406], 16.664941]
[[57, 1.7099759466766968, 46099], [13, 4675, 1/10, 36.08123935571239], 4.258142]
[[57, 1.7099759466766968, 46099], [14, 4675, 1/10, 39.13122347635471], 4.640844]
[[57, 1.7099759466766968, 46099], [15, 4675, 1/10, 43.9469809064194], 4.791521]
[[34, 1.7099759466766968, 22630], [4, 1384, 1/3, 5.7768420193213235], 0.756907]
[[34, 1.7099759466766968, 22630], [5, 1384, 1/3, 7.241665455218948], 0.981235]
[[34, 1.7099759466766968, 22630], [6, 1384, 1/5, 10.105523190054281], 1.127225]
[[34, 1.7099759466766968, 22630], [7, 1384, 1/5, 11.685859744723476], 1.402994]
[[242, 1.7099759466766968, 85768], [11, 64957, 1/10, 45.48366230475995], 18.84797]
[[34, 1.7099759466766968, 22630], [8, 1384, 1/5, 12.7929261409075], 1.517537]
[[34, 1.7099759466766968, 22630], [9, 1384, 1/5, 14.396561887121122], 1.730912]
[[57, 1.7099759466766968, 46099], [16, 4675, 1/10, 47.36958909682411], 5.369603]
[[34, 1.7099759466766968, 22630], [10, 1384, 1/5, 17.095731005386444], 1.878063]
[[34, 1.7099759466766968, 22630], [11, 1384, 1/7, 20.030220084810644], 1.968859]
[[57, 1.7099759466766968, 53993], [1, 87610, 1/2, 1.6181758618989395], 0.292595]
[[242, 1.7099759466766968, 85768], [12, 64957, 1/10, 49.68229907118297], 20.443318]
[[34, 1.7099759466766968, 22630], [12, 1384, 1/7, 22.32851692219049], 2.338122]
[[57, 1.7099759466766968, 53993], [2, 87610, 1/2, 3.4197493555773395], 0.528669]
[[57, 1.7099759466766968, 53993], [3, 87610, 1/3, 4.6121609902944005], 0.734165]
[[34, 1.7099759466766968, 22630], [13, 1384, 1/7, 23.295965244082637], 2.522806]
[[34, 1.7099759466766968, 22630], [14, 1384, 1/7, 25.2043747394368], 2.623738]
[[57, 1.7099759466766968, 53993], [4, 87610, 1/5, 6.5537148715737885], 0.956205]
[[34, 1.7099759466766968, 22630], [15, 1384, 1/7, 26.39515716639209], 2.886773]
[[57, 1.7099759466766968, 53993], [5, 87610, 1/5, 8.78809205535114], 1.13468]
